id,State,Year,sexual_crimes,dowry_deaths,viloence_against_women,crime_involving_force
658,A & N ISLANDS,2019,13,0,29,0
659,CHANDIGARH,2019,112,6,258,129
660,D&N HAVELI,2019,0,3,6,1
661,DAMAN & DIU,2019,4,2,12,3
662,DELHI UT,2019,1253,116,6603,3676
663,LAKSHADWEEP,2019,0,0,13,0
664,PUDUCHERRY,2019,10,0,31,0
665,ANDHRA PRADESH,2020,1095,111,13774,582
666,ARUNACHAL PRADESH,2020,60,0,145,45
667,ASSAM,2020,1657,148,16140,5382
668,BIHAR,2020,806,1046,2525,6701
669,CHHATTISGARH,2020,1210,71,2381,1344
670,GOA,2020,60,0,110,31
671,GUJARAT,2020,486,6,4208,644
672,HARYANA,2020,1373,251,6641,2451
673,HIMACHAL PRADESH,2020,331,1,885,281
674,JAMMU & KASHMIR,2020,1321,275,2221,995
675,JHARKHAND,2020,504,176,6876,1082
676,KARNATAKA,2020,637,6,7039,156
677,KERALA,2020,2339,608,11118,4796
678,MADHYA PRADESH,2020,2061,197,17663,5339
679,MAHARASHTRA,2020,32,1,76,49
680,MANIPUR,2020,67,1,119,29
681,MEGHALAYA,2020,33,0,36,1
682,MIZORAM,2020,4,1,11,6
683,NAGALAND,2020,1211,320,16879,3794
684,ODISHA,2020,502,63,2030,1252
685,PUNJAB,2020,5310,479,22511,4806
686,RAJASTHAN,2020,12,0,19,11
687,SIKKIM,2020,389,40,1612,864
688,TAMIL NADU,2020,764,158,12925,1327
689,TELANGANA,2020,79,23,474,110
690,TRIPURA,2020,2769,2274,24346,9134
691,UTTAR PRADESH,2020,487,65,1185,357
692,UTTARAKHAND,2020,1128,522,22896,7792
693,WEST BENGAL,2020,2,0,20,1
694,A & N ISLANDS,2020,60,1,142,90
695,CHANDIGARH,2020,4,1,13,0
696,D&N HAVELI,2020,997,110,4813,2941
697,DAMAN & DIU,2020,243,9,2128,775
698,DELHI UT,2020,2,0,7,0
699,LAKSHADWEEP,2020,3,0,4,0
700,PUDUCHERRY,2020,8,2,34,0
701,ANDHRA PRADESH,2021,1188,108,14570,683
702,ARUNACHAL PRADESH,2021,83,0,196,50
703,ASSAM,2021,1733,198,17633,5761
704,BIHAR,2021,786,1000,2457,8693
705,CHHATTISGARH,2021,1093,65,2449,1161
706,GOA,2021,72,0,95,40
707,GUJARAT,2021,589,11,2938,919
708,HARYANA,2021,1716,275,8927,2986
709,HIMACHAL PRADESH,2021,358,2,802,350
710,JAMMU & KASHMIR,2021,1425,281,2272,1162
711,JHARKHAND,2021,555,158,7512,1096
712,KARNATAKA,2021,771,9,9560,184
713,KERALA,2021,2947,522,13939,6121
714,MADHYA PRADESH,2021,2496,172,21701,7654
715,MAHARASHTRA,2021,26,2,126,44
716,MANIPUR,2021,75,0,137,45
717,MEGHALAYA,2021,26,0,42,0
718,MIZORAM,2021,4,0,14,5
719,NAGALAND,2021,1456,293,20580,5206
720,ODISHA,2021,464,69,2431,1628
721,PUNJAB,2021,6337,452,26101,6004
722,RAJASTHAN,2021,8,0,20,1
723,SIKKIM,2021,422,27,1984,1019
724,TAMIL NADU,2021,823,175,14608,1946
725,TELANGANA,2021,61,22,450,115
726,TRIPURA,2021,2845,2222,27795,10586
727,UTTAR PRADESH,2021,534,72,1187,419
728,UTTARAKHAND,2021,1123,454,22861,7426
729,WEST BENGAL,2021,15,1,40,0
730,A & N ISLANDS,2021,74,4,138,120
731,CHANDIGARH,2021,3,0,13,23
732,D&N HAVELI,2021,1250,141,7216,4087
733,DAMAN & DIU,2021,315,16,2362,905
734,DELHI UT,2021,2,0,15,1
735,LAKSHADWEEP,2021,0,0,5,0
736,PUDUCHERRY,2021,2,2,46,0
